(OCoLC)45716095	990000051590302486,(Aleph)000005159EMU01	1471-3020	0
(OCoLC)44078619	990000052180302486,(Aleph)000005218EMU01	1530-1516	0
(OCoLC)44078561	990000052190302486,(Aleph)000005219EMU01	1530-1508	0
(OCoLC)24758374	990000053380302486,(Aleph)000005338EMU01	1546-8364; 1059-8405	0
(OCoLC)20654958	990000053610302486,(Aleph)000005361EMU01	0871-7486	0
(OCoLC)15133347	990000054820302486,(Aleph)000005482EMU01	1053-8186	0
(OCoLC)25066615	990000054840302486,(Aleph)000005484EMU01	0766-5075	0
(OCoLC)44598004	990000054860302486,(Aleph)000005486EMU01	1530-9576	0
(OCoLC)45726219	990000054880302486,(Aleph)000005488EMU01	1058-8369; 0899-6253; 1542-4898	0
ocm45251961	990000056130302486,(Aleph)000005613EMU01	1521-2874	0
(OCoLC)45914104	990000058190302486,(Aleph)000005819EMU01	0000-2100	0
ocm45229606	990000059710302486,(Aleph)000005971EMU01	None	0
ocm45229608	990000059720302486,(Aleph)000005972EMU01	None	0
(OCoLC)29217841	990000060060302486,(Aleph)000006006EMU01	1557-1988; 1557-1998; 1557-198X	1
(OCoLC)11635766	990000060170302486,(Aleph)000006017EMU01	8756-7164	0
ocm45450713	990000060570302486,(Aleph)000006057EMU01	None	0
ocm44161569	990000061560302486,(Aleph)000006156EMU01	None	0
ocm45440749	990000066770302486,(Aleph)000006677EMU01	1086-9948	0
(OCoLC)9201764	990000066800302486,(Aleph)000006680EMU01	None	0
(OCoLC)825065	990000067430302486,(Aleph)000006743EMU01	0010-1931	0
(OCoLC)45474611	990000067850302486,(Aleph)000006785EMU01	1492-7799	0
(OCoLC)38212568	990000068180302486,(Aleph)000006818EMU01	1393-3493	0
(OCoLC)44000666	990000071610302486,(Aleph)000007161EMU01	0300-9246; 1472-7773; 1470-479X	0
No OCLC Number Available	990000071810302486,(Aleph)000007181EMU01	None	0
(OCoLC)42732625	990000072290302486,(Aleph)000007229EMU01	1118-5910	0
